#tId	x1	y1	x2	y2	time	label
0	211	200	203	65	463	0
1	389	367	504	228	406	1
2	244	106	125	248	533	2
3	410	340	392	172	519	3
4	339	188	210	80	461	4
5	453	83	226	452	746	5
6	548	318	417	102	484	6
7	611	313	437	107	583	6
8	551	331	380	238	486	7
9	198	323	209	121	456	8
10	251	202	193	59	518	0
11	344	420	488	253	411	1
12	194	66	25	234	690	2
13	659	384	587	190	512	9
14	507	339	410	108	447	6
15	659	371	561	206	421	9
16	529	300	385	230	486	7
17	494	216	506	136	410	10
18	220	95	125	248	533	2
19	609	353	320	147	513	11
20	632	351	539	202	494	9
21	565	307	595	208	758	9
22	152	409	232	93	593	8
23	599	368	539	202	493	9
24	235	167	240	336	408	12
25	589	361	588	188	522	9
26	587	340	316	148	470	11
27	471	420	246	455	429	13
28	578	310	318	148	437	11
29	456	60	367	218	570	14
30	303	455	423	147	653	15
31	580	262	665	245	448	16
32	323	192	25	248	522	17
33	694	412	477	318	535	18
34	368	454	51	307	708	19
35	695	381	329	452	707	20
36	480	34	372	175	526	14
37	671	389	673	288	436	21
38	469	157	645	275	426	22
39	494	371	629	455	613	23
40	579	326	212	454	736	24
41	155	446	25	238	469	25
42	498	191	485	30	480	10
43	617	358	679	250	400	21
44	190	455	276	132	541	8
45	603	455	49	318	612	26
46	484	325	447	165	528	3
47	470	401	429	201	485	3
48	562	316	557	454	420	23
49	695	419	296	146	689	27
50	373	147	673	270	613	22
51	575	393	326	153	708	11
52	392	162	663	269	551	22
53	695	418	416	339	400	18
54	695	400	310	155	593	27
55	676	397	296	146	635	27
56	513	36	333	193	573	14
57	407	181	668	295	399	22
58	75	450	222	205	428	28
59	93	455	193	221	404	28
60	105	455	319	170	672	29
61	87	455	208	201	607	28
62	103	455	208	201	600	28
63	453	77	513	337	705	30
64	184	168	184	374	401	12
65	558	142	621	455	453	31
66	695	421	574	242	432	9
67	526	156	465	80	933	10
68	695	427	560	241	456	9
69	325	455	464	173	801	15
70	402	455	673	299	436	32
71	318	436	623	278	412	32
72	475	164	640	264	471	22
73	346	171	291	39	405	4
74	488	205	649	305	510	22
75	164	309	319	170	491	33
76	400	154	334	117	736	4
77	447	405	464	174	642	3
78	377	187	309	119	760	4
79	188	68	76	237	603	2
80	148	390	167	175	559	8
81	308	213	144	429	582	34
82	188	249	164	237	436	35
83	308	226	144	429	577	34
84	389	455	407	293	422	36
85	303	228	130	455	435	34
86	333	169	42	454	464	34
87	36	455	202	152	461	28
88	285	199	120	455	551	34
89	181	341	192	149	460	8
90	449	101	446	171	436	14
91	541	455	237	280	555	37
92	425	455	229	277	555	37
93	583	455	674	285	400	21
94	360	213	134	455	645	34
95	569	72	407	129	423	14
96	399	455	53	303	586	19
97	554	376	471	85	556	6
98	695	451	651	314	436	21
99	695	426	214	454	1101	38
100	651	455	409	201	471	39
101	639	455	522	235	588	9
102	646	455	408	203	458	39
103	623	455	469	215	500	39
104	445	204	465	79	443	10
105	551	300	458	47	597	6
106	310	201	135	455	483	34
107	304	180	136	454	459	34
108	485	422	55	287	481	19
109	368	452	353	185	462	15
110	302	207	167	454	414	34
111	402	174	408	329	742	40
112	431	455	678	285	447	32
113	513	144	403	285	424	41
114	339	180	122	455	602	34
115	407	175	385	299	416	40
116	376	455	472	268	408	36
117	463	435	666	292	572	32
118	470	440	577	420	658	23
119	611	455	412	155	602	39
120	695	406	461	156	584	39
121	663	455	545	143	496	9
122	497	422	530	327	450	42
123	371	173	434	138	438	43
124	652	455	526	111	619	9
125	647	454	539	144	509	9
126	324	454	435	186	493	15
127	386	166	217	455	684	5
128	311	413	446	454	507	44
129	645	455	464	211	610	39
130	448	455	466	252	405	36
131	695	419	394	180	509	39
132	661	455	478	172	455	39
133	658	455	402	189	469	39
134	517	154	394	293	407	41
135	592	325	513	81	533	6
136	200	71	266	248	404	45
137	549	455	496	455	667	46
138	475	385	375	344	541	47
139	490	205	423	413	586	48
140	523	455	377	210	479	49
141	444	435	393	231	414	36
142	223	42	351	176	414	45
143	687	455	384	244	447	39
144	164	249	125	454	530	50
145	695	443	386	244	421	39
146	318	165	415	100	459	43
147	695	429	391	244	404	39
148	541	332	518	186	431	6
149	287	455	585	225	750	51
150	509	395	453	298	476	42
151	73	315	131	455	405	50
152	286	301	275	102	482	52
153	626	455	311	455	440	20
154	605	438	679	286	407	21
155	528	350	390	291	416	7
156	491	55	548	187	466	53
157	294	178	115	384	407	34
158	583	360	472	167	506	6
159	640	444	594	198	462	9
160	663	455	578	185	529	9
161	377	455	679	301	477	32
162	370	454	155	454	439	54
163	592	451	582	187	491	9
164	315	455	249	145	530	55
165	530	296	291	455	580	24
166	631	241	661	265	560	16
167	517	279	425	343	605	48
168	648	454	541	214	441	9
169	336	344	218	93	809	52
170	420	455	176	168	644	56
171	146	455	36	266	445	25
172	602	455	484	250	512	39
173	281	390	33	268	420	57
174	269	425	51	455	490	58
175	165	455	25	259	432	25
176	494	397	274	455	716	13
177	370	432	178	165	547	56
178	560	455	481	168	520	39
179	602	248	347	385	503	59
180	419	452	213	82	749	56
181	238	454	284	193	597	55
182	467	64	452	323	508	30
183	440	112	366	146	430	14
184	537	124	615	223	415	53
185	249	331	203	69	673	52
186	552	390	454	146	538	6
187	611	455	675	299	422	21
188	410	455	200	83	724	56
189	519	348	454	208	448	3
190	674	455	537	243	596	9
191	398	455	303	210	423	60
192	387	455	246	261	662	60
193	562	119	668	253	472	53
194	373	454	564	455	524	61
195	284	239	218	105	431	0
196	455	94	379	217	401	14
197	531	334	380	358	540	47
198	205	259	242	154	426	33
199	480	193	363	397	505	48
200	198	213	180	65	576	0
201	115	455	156	454	465	62
202	461	418	611	179	482	63
203	442	120	223	454	645	5
204	425	455	249	207	425	60
205	427	454	252	206	425	60
206	695	455	573	455	452	64
207	199	455	83	454	615	58
208	695	450	571	454	433	64
209	638	455	541	260	407	9
210	435	145	324	366	453	40
211	345	388	186	170	495	56
212	339	455	235	144	595	56
213	461	455	241	374	765	13
214	193	172	177	42	493	0
215	354	206	536	454	402	65
216	144	432	151	290	420	66
217	126	455	184	253	411	66
218	123	441	185	253	411	66
219	97	455	165	159	468	28
220	104	455	166	172	543	28
221	363	205	674	303	629	22
222	305	207	235	144	519	4
223	531	255	420	101	454	6
224	534	414	612	180	523	63
225	108	455	190	246	433	66
226	114	455	183	247	433	66
227	157	455	276	226	481	29
228	567	258	626	280	480	16
229	219	291	168	153	466	35
230	164	455	278	226	472	29
231	393	455	186	257	406	60
232	519	334	418	52	653	6
233	383	455	232	82	843	56
234	223	364	40	246	514	57
235	542	117	653	248	427	53
236	381	455	243	262	431	60
237	648	455	517	246	480	9
238	427	296	678	277	543	67
239	176	383	156	299	707	66
240	404	193	208	455	510	5
241	655	455	502	121	757	9
242	151	455	217	295	429	66
243	580	366	335	180	546	11
244	360	455	246	454	559	54
245	359	196	652	250	434	22
246	487	455	492	210	422	36
247	420	188	353	454	477	48
248	378	185	634	301	447	22
249	376	161	642	304	454	22
250	190	349	74	454	872	58
251	614	141	681	268	438	53
252	618	440	472	151	456	39
253	634	415	513	180	506	9
254	175	373	24	241	471	57
255	616	455	518	205	508	9
256	356	455	493	94	800	15
257	332	455	421	54	809	15
258	597	416	501	123	694	9
259	308	152	232	396	484	12
260	353	423	674	293	473	32
261	452	209	420	54	517	10
262	342	455	421	102	648	15
263	319	455	222	122	609	56
264	414	186	387	26	636	10
265	241	360	233	81	681	52
266	422	455	227	154	537	56
267	693	455	676	282	447	21
268	412	454	675	287	400	32
269	218	342	113	283	521	57
270	422	455	675	304	400	32
271	512	172	266	454	496	5
272	268	191	237	427	402	12
273	379	207	241	455	572	5
274	132	455	212	142	431	28
275	375	187	674	295	451	22
276	575	383	504	144	425	6
277	558	342	674	296	447	16
278	508	151	521	455	500	31
279	391	455	524	270	433	1
280	476	176	393	38	445	10
281	150	413	218	296	451	66
282	586	455	421	192	433	39
283	331	189	269	118	404	4
284	417	455	500	222	467	36
285	169	221	224	48	838	0
286	335	167	284	54	608	4
287	324	179	283	56	586	4
288	158	328	53	289	437	57
289	320	178	283	56	574	4
290	275	455	625	292	525	51
291	377	187	531	190	685	68
292	153	314	517	240	505	69
293	341	146	244	219	423	70
294	367	435	455	125	711	15
295	312	175	283	56	557	4
296	553	255	503	124	465	6
297	413	454	671	290	451	32
298	403	419	669	285	479	32
299	576	455	484	215	405	39
300	273	455	238	120	627	55
301	458	444	673	289	403	32
302	406	235	385	24	686	10
303	444	430	673	290	601	32
304	680	455	659	270	424	21
305	503	112	674	302	666	53
306	433	417	673	290	585	32
307	669	455	642	280	411	21
308	693	455	679	269	467	21
309	276	455	494	433	455	44
310	531	455	632	273	409	63
311	251	194	248	35	468	0
312	505	455	252	455	405	13
313	599	455	487	224	588	39
314	394	165	434	102	409	43
315	434	132	422	111	418	43
316	615	455	534	187	453	9
317	664	455	676	302	430	21
318	335	167	265	206	589	70
319	358	455	107	353	467	19
320	245	137	132	327	444	12
321	561	369	448	145	447	6
322	462	277	591	454	578	23
323	472	212	678	299	601	22
324	265	295	325	307	487	71
325	442	455	215	52	908	56
326	388	177	460	72	505	43
327	285	295	242	123	441	52
328	332	455	678	299	575	32
329	614	145	502	308	527	72
330	614	143	326	393	573	59
331	481	200	492	82	433	10
332	381	183	390	24	702	43
333	403	455	678	287	444	32
334	374	145	404	151	468	43
335	614	145	224	455	601	73
336	287	321	216	53	699	52
337	449	306	113	275	780	74
338	228	38	323	366	835	75
339	593	152	218	455	570	73
340	324	146	216	81	400	4
341	123	452	209	104	688	28
342	503	455	216	64	890	76
343	178	455	189	97	740	8
344	413	455	25	256	781	19
345	433	455	670	289	460	32
346	237	209	225	45	526	0
347	468	434	670	284	448	32
348	555	189	333	331	453	59
349	529	145	251	409	544	73
350	606	455	680	244	682	21
351	426	112	389	178	783	14
352	360	455	267	200	440	60
353	47	273	207	236	628	77
354	366	451	454	170	531	15
355	286	200	316	89	411	4
356	547	424	33	266	645	26
357	584	257	670	315	556	16
358	602	269	662	310	494	16
359	546	385	226	411	498	13
360	628	455	593	182	548	9
361	467	212	296	115	431	78
362	614	142	370	202	693	79
363	343	455	356	197	584	15
364	409	386	25	256	581	19
365	338	443	556	455	879	61
366	311	324	233	114	512	52
367	389	455	660	264	677	32
368	354	455	677	246	557	32
369	395	455	661	270	470	32
370	513	193	238	446	498	73
371	112	455	60	455	635	62
372	414	454	228	50	885	56
373	431	455	257	124	710	56
374	391	455	294	181	655	60
375	518	205	675	247	407	53
376	421	444	294	184	644	60
377	484	432	527	281	517	42
378	324	455	386	194	574	15
379	475	383	677	246	417	63
380	309	455	493	199	548	15
381	489	378	681	277	401	63
382	429	455	544	181	483	1
383	388	454	657	261	435	32
384	249	224	350	171	501	33
385	578	455	392	202	542	49
386	432	455	549	208	436	1
387	528	455	401	230	449	49
388	520	415	546	175	467	63
389	331	391	209	156	606	56
390	567	455	400	323	679	49
391	574	455	677	289	418	21
392	550	104	495	214	553	80
393	181	223	290	39	850	0
394	516	330	527	284	429	42
395	568	102	425	161	409	80
396	523	225	369	202	444	7
397	473	376	389	196	447	3
398	341	139	186	195	515	70
399	501	190	427	362	404	48
400	484	455	397	355	558	47
401	398	455	662	279	414	32
402	485	455	408	356	575	47
403	415	455	665	288	413	32
404	343	455	670	258	434	32
405	281	237	214	159	406	35
406	486	407	232	454	665	13
407	361	200	207	455	700	5
408	613	145	461	126	486	80
409	192	36	205	160	717	45
410	154	317	222	147	742	8
411	353	455	677	291	410	32
412	147	315	233	421	521	50
413	339	186	206	455	663	34
414	590	134	361	181	508	79
415	312	455	486	211	421	15
416	609	153	467	296	399	72
417	386	428	679	240	453	32
418	106	455	109	247	443	66
419	475	143	509	267	564	30
420	119	447	24	251	524	25
421	442	203	416	454	413	48
422	370	397	238	226	414	60
423	101	455	116	231	415	66
424	445	455	201	82	878	76
425	181	341	119	230	412	57
426	247	199	229	42	546	0
427	452	178	348	121	599	78
428	613	144	347	142	708	79
429	146	455	114	236	551	66
430	382	419	679	289	491	32
431	147	455	149	229	474	66
432	447	382	454	28	975	81
433	572	222	232	455	437	73
434	403	432	662	454	472	61
435	131	438	255	145	477	28
436	466	185	317	123	637	78
437	142	455	34	277	422	25
438	338	455	649	251	416	32
439	464	310	320	411	404	82
440	118	455	242	252	519	29
441	137	455	139	228	434	66
442	148	455	109	231	467	66
443	514	127	567	205	472	53
444	464	141	283	98	604	78
445	141	455	199	288	566	66
446	510	455	679	274	402	63
447	611	134	201	455	793	73
448	468	415	644	373	462	23
449	418	455	672	292	430	32
450	268	438	662	267	523	51
451	611	134	198	455	774	73
452	597	455	533	212	448	9
453	598	182	244	455	478	73
454	516	229	213	152	742	83
455	660	455	596	232	695	9
456	683	455	560	224	427	9
457	646	455	531	213	432	9
458	145	454	207	182	470	28
459	328	433	672	299	448	32
460	323	442	680	279	570	32
461	178	455	191	144	559	8
462	550	184	676	302	444	53
463	513	165	557	454	490	31
464	568	412	611	178	528	63
465	593	149	423	295	440	72
466	638	431	682	454	475	84
467	524	278	438	126	716	6
468	372	412	673	300	402	32
469	452	113	282	191	454	78
470	572	165	287	379	506	59
471	379	411	680	286	508	32
472	172	281	272	185	724	33
473	393	454	524	259	406	1
474	568	373	590	185	404	63
475	540	174	214	455	511	73
476	343	455	557	282	665	1
477	576	180	424	106	706	80
478	613	139	222	455	936	73
479	67	455	135	239	445	66
480	477	287	677	274	407	67
481	371	455	231	88	1142	56
482	410	403	663	276	415	32
483	414	404	588	209	531	1
484	486	173	308	386	452	48
485	336	455	358	409	443	85
486	311	455	674	300	435	51
487	286	191	402	454	448	86
488	438	368	676	245	406	67
489	448	352	434	123	577	3
490	460	279	441	123	571	3
491	460	302	640	454	819	23
492	475	213	203	455	454	5
493	518	200	334	394	428	48
494	604	177	679	278	559	53
495	491	235	265	454	484	5
496	503	190	156	452	512	5
497	491	191	164	454	493	5
498	301	224	218	454	399	34
499	115	349	149	287	417	66
500	613	138	409	298	514	72
501	128	421	252	228	496	29
502	327	455	683	267	542	51
503	513	185	215	440	541	5
504	344	455	632	260	418	51
505	516	233	221	455	544	5
506	163	334	25	239	454	57
507	317	455	452	299	623	87
508	354	455	631	261	405	51
509	207	95	338	178	419	45
510	303	455	669	287	464	51
511	402	187	482	160	416	68
512	321	455	662	274	422	51
513	334	455	665	275	422	51
514	596	139	414	232	425	72
515	239	235	98	455	415	34
516	349	205	389	258	401	40
517	563	345	479	192	497	6
518	547	227	186	381	1083	73
519	328	161	268	103	669	4
520	320	455	348	323	401	85
521	479	223	32	269	677	74
522	617	137	634	428	703	31
523	346	455	378	186	465	15
524	514	223	415	347	479	48
525	573	165	595	375	455	31
526	596	160	493	296	403	72
527	434	455	354	172	581	60
528	321	455	244	153	483	55
529	431	295	495	107	507	3
530	351	452	272	133	605	56
531	483	455	353	173	567	49
532	443	427	353	173	552	60
533	350	455	271	455	725	54
534	425	411	675	293	412	32
535	412	455	661	247	403	32
536	325	159	298	295	471	40
537	482	455	215	455	521	13
538	440	360	680	246	418	67
539	556	274	331	404	426	59
540	431	455	354	172	521	60
541	68	455	173	172	840	28
542	449	455	353	173	507	60
543	440	280	33	271	601	74
544	384	455	577	204	473	1
545	445	322	254	455	467	82
546	457	412	662	280	413	32
547	398	455	666	290	418	32
548	640	455	679	288	411	21
549	475	216	200	455	459	5
550	563	226	640	454	451	31
551	543	455	591	192	445	63
552	461	369	265	121	689	76
553	426	450	111	305	401	19
554	488	102	269	41	539	78
555	471	201	207	454	453	5
556	435	378	212	455	415	13
557	427	455	669	283	460	32
558	502	354	265	121	650	76
559	478	176	678	280	522	22
560	546	389	595	194	483	63
561	553	234	380	306	800	7
562	613	146	279	454	715	73
563	356	455	676	292	421	32
564	335	407	37	267	437	19
565	111	301	258	116	431	33
566	516	363	530	262	556	42
567	124	314	215	128	452	8
568	512	345	621	292	586	67
569	561	200	521	455	656	31
570	344	385	64	269	577	19
571	493	194	278	454	487	5
572	353	423	475	455	514	44
573	398	197	345	108	511	43
574	321	451	649	293	1511	51
575	567	219	638	455	428	31
576	341	454	655	263	478	51
577	384	430	583	431	430	61
578	340	453	541	370	446	61
579	312	455	649	254	567	51
580	182	271	218	97	636	0
581	356	432	541	372	425	61
582	423	455	659	273	415	32
583	329	455	571	185	864	1
584	300	328	232	117	620	52
585	279	328	218	160	405	52
586	438	439	664	280	400	32
587	321	194	273	215	491	70
588	568	101	469	43	447	80
589	475	405	674	284	403	67
590	391	455	661	260	447	32
591	381	440	571	185	832	1
592	172	455	201	188	446	28
593	414	455	477	455	399	44
594	309	130	217	32	538	4
595	176	455	179	193	535	28
596	612	144	481	301	461	72
597	250	244	111	237	630	35
598	602	176	643	453	412	31
599	605	166	646	454	416	31
600	393	383	674	283	465	32
601	566	172	531	455	509	31
602	149	455	333	142	652	29
603	513	191	290	452	400	5
604	612	144	403	332	537	72
605	468	303	654	306	399	67
606	160	452	294	199	404	29
607	439	455	676	293	433	32
608	605	164	476	333	440	72
609	117	308	194	164	591	8
610	605	171	606	454	500	31
611	595	184	411	327	515	72
612	366	455	589	386	522	61
613	330	433	673	292	666	51
614	535	307	538	110	800	6
615	374	455	533	87	867	88
616	397	455	569	171	553	1
617	440	389	580	204	419	1
618	148	455	300	222	523	29
619	75	454	303	328	420	89
620	51	275	284	183	439	77
621	216	359	290	112	656	52
622	517	400	548	245	606	42
623	573	168	681	270	553	53
624	464	253	668	288	403	67
625	586	455	570	185	527	9
626	485	365	593	187	463	63
627	395	400	675	288	568	32
628	563	454	542	107	674	9
629	116	444	186	125	611	28
630	101	405	188	127	578	28
631	323	366	530	316	536	87
632	282	455	205	204	431	55
633	672	455	654	247	473	21
634	550	447	600	454	418	46
