#tId	x1	y1	x2	y2	time
0	211	200	203	65	463
1	389	367	504	228	406
2	244	106	125	248	533
3	410	340	392	172	519
4	339	188	210	80	461
5	453	83	226	452	746
6	548	318	417	102	484
7	611	313	437	107	583
8	551	331	380	238	486
9	198	323	209	121	456
10	251	202	193	59	518
11	344	420	488	253	411
12	194	66	25	234	690
13	659	384	587	190	512
14	507	339	410	108	447
15	659	371	561	206	421
16	529	300	385	230	486
17	494	216	506	136	410
18	220	95	125	248	533
19	609	353	320	147	513
20	632	351	539	202	494
21	565	307	595	208	758
22	152	409	232	93	593
23	599	368	539	202	493
24	235	167	240	336	408
25	589	361	588	188	522
26	587	340	316	148	470
27	471	420	246	455	429
28	578	310	318	148	437
29	456	60	367	218	570
30	303	455	423	147	653
31	580	262	665	245	448
32	323	192	25	248	522
33	694	412	477	318	535
34	368	454	51	307	708
35	695	381	329	452	707
36	480	34	372	175	526
37	671	389	673	288	436
38	469	157	645	275	426
39	494	371	629	455	613
40	579	326	212	454	736
41	155	446	25	238	469
42	498	191	485	30	480
43	617	358	679	250	400
44	190	455	276	132	541
45	603	455	49	318	612
46	484	325	447	165	528
47	470	401	429	201	485
48	562	316	557	454	420
49	695	419	296	146	689
50	373	147	673	270	613
51	575	393	326	153	708
52	392	162	663	269	551
53	695	418	416	339	400
54	695	400	310	155	593
55	676	397	296	146	635
56	513	36	333	193	573
57	407	181	668	295	399
58	75	450	222	205	428
59	93	455	193	221	404
60	105	455	319	170	672
61	87	455	208	201	607
62	103	455	208	201	600
63	453	77	513	337	705
64	184	168	184	374	401
65	558	142	621	455	453
66	695	421	574	242	432
67	526	156	465	80	933
68	695	427	560	241	456
69	325	455	464	173	801
70	402	455	673	299	436
71	318	436	623	278	412
72	475	164	640	264	471
73	346	171	291	39	405
74	488	205	649	305	510
75	164	309	319	170	491
76	400	154	334	117	736
77	447	405	464	174	642
78	377	187	309	119	760
79	188	68	76	237	603
80	148	390	167	175	559
81	308	213	144	429	582
82	188	249	164	237	436
83	308	226	144	429	577
84	389	455	407	293	422
85	303	228	130	455	435
86	333	169	42	454	464
87	36	455	202	152	461
88	285	199	120	455	551
89	181	341	192	149	460
90	449	101	446	171	436
91	541	455	237	280	555
92	425	455	229	277	555
93	583	455	674	285	400
94	360	213	134	455	645
95	569	72	407	129	423
96	399	455	53	303	586
97	554	376	471	85	556
98	695	451	651	314	436
99	695	426	214	454	1101
100	651	455	409	201	471
101	639	455	522	235	588
102	646	455	408	203	458
103	623	455	469	215	500
104	445	204	465	79	443
105	551	300	458	47	597
106	310	201	135	455	483
107	304	180	136	454	459
108	485	422	55	287	481
109	368	452	353	185	462
110	302	207	167	454	414
111	402	174	408	329	742
112	431	455	678	285	447
113	513	144	403	285	424
114	339	180	122	455	602
115	407	175	385	299	416
116	376	455	472	268	408
117	463	435	666	292	572
118	470	440	577	420	658
119	611	455	412	155	602
