#tId	x1	y1	x2	y2	time	label
1	315	146	475	173	113	0
2	405	357	475	287	58	1
3	273	118	283	47	22	2
4	136	109	477	157	193	3
5	128	237	89	356	121	4
6	11	238	7	181	157	5
7	5	184	164	225	37	6
8	21	176	475	171	232	7
9	324	47	282	47	22	8
10	327	97	11	241	342	9
11	476	176	316	84	167	10
12	473	339	447	356	35	11
13	477	168	7	181	92	12
14	449	345	321	356	76	13
15	211	357	472	282	50	14
16	323	58	282	61	22	8
17	282	47	338	88	28	15
18	11	231	471	185	91	16
19	351	357	475	318	74	17
20	11	241	471	194	340	16
21	474	160	310	78	161	10
22	10	234	149	139	118	18
23	312	357	477	286	91	19
24	5	186	9	145	108	20
25	215	357	475	282	117	14
26	475	185	323	40	173	10
27	312	63	284	43	28	8
28	12	233	5	186	172	5
29	357	357	474	325	79	17
30	252	120	98	137	63	21
31	255	357	475	278	96	14
32	4	201	477	190	240	16
33	477	171	299	73	161	10
34	349	106	475	176	129	22
35	476	314	364	356	66	23
36	261	357	475	326	84	24
37	477	310	400	356	67	23
38	11	236	13	179	149	5
39	323	44	284	44	40	8
40	464	155	317	86	55	10
41	323	59	292	42	30	8
42	400	170	8	182	89	25
43	473	297	289	357	92	26
44	439	153	475	179	37	27
45	4	179	475	169	229	7
46	456	179	351	356	105	28
47	323	50	291	61	20	8
48	70	166	7	181	46	29
49	12	234	69	162	176	30
50	323	60	284	51	34	8
51	10	236	7	182	154	5
52	136	126	477	173	267	3
53	403	357	476	334	48	1
54	10	233	7	182	212	5
55	313	357	477	289	118	19
56	8	233	6	183	226	5
57	14	237	8	181	183	5
58	477	173	428	139	31	31
59	342	357	476	294	88	17
60	293	51	340	95	35	15
61	427	142	477	171	35	27
62	145	116	100	133	32	32
63	10	234	6	183	169	5
64	120	129	159	129	34	33
65	8	233	6	183	166	5
66	477	166	322	47	197	10
67	11	236	8	183	222	5
68	271	117	302	118	62	34
69	372	124	355	98	86	35
70	337	109	475	182	110	22
71	475	159	324	87	200	10
72	292	41	272	114	39	36
73	474	292	327	357	79	26
74	11	233	7	183	314	5
75	475	289	317	356	80	26
76	155	127	116	133	36	32
77	4	187	198	165	475	37
78	11	236	8	183	188	5
79	477	185	110	197	214	38
80	11	234	9	182	157	5
81	124	199	4	186	161	39
82	11	238	446	167	267	16
83	12	237	219	150	220	40
84	15	238	471	186	285	16
85	474	273	272	357	88	26
86	321	101	293	60	103	8
87	323	95	292	51	20	8
88	189	169	10	183	49	41
89	477	191	12	236	254	42
90	191	172	7	182	87	41
91	12	238	477	173	146	16
92	320	105	327	207	205	43
93	8	233	193	168	226	40
94	11	236	8	181	197	5
