#tId	x1	y1	x2	y2	time
1	315	146	475	173	113
2	405	357	475	287	58
3	273	118	283	47	22
4	136	109	477	157	193
5	128	237	89	356	121
6	11	238	7	181	157
7	5	184	164	225	37
8	21	176	475	171	232
9	324	47	282	47	22
10	327	97	11	241	342
11	476	176	316	84	167
12	473	339	447	356	35
13	477	168	7	181	92
14	449	345	321	356	76
15	211	357	472	282	50
16	323	58	282	61	22
17	282	47	338	88	28
18	11	231	471	185	91
19	351	357	475	318	74
20	11	241	471	194	340
21	474	160	310	78	161
22	10	234	149	139	118
23	312	357	477	286	91
24	5	186	9	145	108
25	215	357	475	282	117
26	475	185	323	40	173
27	312	63	284	43	28
28	12	233	5	186	172
29	357	357	474	325	79
30	252	120	98	137	63
31	255	357	475	278	96
32	4	201	477	190	240
33	477	171	299	73	161
34	349	106	475	176	129
35	476	314	364	356	66
36	261	357	475	326	84
37	477	310	400	356	67
38	11	236	13	179	149
39	323	44	284	44	40
40	464	155	317	86	55
41	323	59	292	42	30
42	400	170	8	182	89
43	473	297	289	357	92
44	439	153	475	179	37
45	4	179	475	169	229
46	456	179	351	356	105
47	323	50	291	61	20
48	70	166	7	181	46
49	12	234	69	162	176
50	323	60	284	51	34
51	10	236	7	182	154
52	136	126	477	173	267
53	403	357	476	334	48
54	10	233	7	182	212
55	313	357	477	289	118
56	8	233	6	183	226
57	14	237	8	181	183
58	477	173	428	139	31
59	342	357	476	294	88
60	293	51	340	95	35
61	427	142	477	171	35
62	145	116	100	133	32
63	10	234	6	183	169
64	120	129	159	129	34
65	8	233	6	183	166
66	477	166	322	47	197
67	11	236	8	183	222
68	271	117	302	118	62
69	372	124	355	98	86
70	337	109	475	182	110
71	475	159	324	87	200
72	292	41	272	114	39
73	474	292	327	357	79
74	11	233	7	183	314
75	475	289	317	356	80
76	155	127	116	133	36
77	4	187	198	165	475
78	11	236	8	183	188
79	477	185	110	197	214
80	11	234	9	182	157
81	124	199	4	186	161
82	11	238	446	167	267
83	12	237	219	150	220
84	15	238	471	186	285
85	474	273	272	357	88
86	321	101	293	60	103
87	323	95	292	51	20
88	189	169	10	183	49
89	477	191	12	236	254
90	191	172	7	182	87
91	12	238	477	173	146
92	320	105	327	207	205
93	8	233	193	168	226
94	11	236	8	181	197
95	282	47	12	242	338
96	348	154	332	210	76
97	325	357	439	173	162
98	472	328	338	356	36
99	362	176	221	150	456
100	11	237	5	183	340
101	476	173	5	185	237
102	323	47	283	43	25
103	9	233	4	187	240
104	309	59	475	168	132
105	475	166	293	51	78
106	321	207	476	205	141
107	209	161	4	183	156
108	323	60	282	53	38
109	474	281	226	355	109
110	12	236	475	183	135
111	476	288	259	351	38
112	163	228	155	129	81
113	10	234	8	183	167
114	8	233	7	182	220
115	10	236	22	179	172
116	269	115	323	46	63
117	9	236	10	183	198
118	11	236	19	179	155
119	325	97	475	166	175
120	475	277	228	357	112
121	312	82	323	44	20
122	4	183	329	96	232
123	288	57	282	48	44
124	11	236	145	236	45
125	6	223	477	184	233
126	475	181	16	228	85
127	282	43	316	81	22
128	325	357	223	355	72
129	246	356	477	281	109
130	307	357	6	227	230
131	162	220	477	189	204
132	23	320	4	185	97
133	211	357	50	266	124
134	477	157	323	40	202
135	12	236	6	185	170
136	299	63	477	159	192
137	4	226	7	183	191
138	477	185	108	221	198
139	323	61	284	65	30
140	103	234	11	239	61
141	8	233	7	183	293
142	475	294	434	291	20
143	477	302	389	356	124
144	473	161	335	94	115
145	5	181	467	170	288
146	282	40	322	47	26
147	292	40	183	356	348
148	299	71	477	162	179
149	475	284	269	357	110
150	464	159	385	124	45
151	371	117	293	46	99
152	473	188	15	173	134
153	12	235	8	184	166
154	475	182	42	206	227
155	293	46	346	93	24
156	475	305	370	357	82
157	370	105	475	171	89
158	52	204	12	181	151
159	424	357	475	347	29
160	477	320	402	357	46
161	467	173	335	150	103
162	323	50	292	46	33
163	80	223	474	196	66
164	265	357	477	276	127
165	391	357	476	325	51
166	441	278	321	59	125
167	477	165	301	69	220
168	315	83	284	49	67
169	120	129	194	121	34
170	254	357	155	356	102
171	269	112	310	106	39
172	79	225	294	57	75
173	325	151	11	183	64
174	321	97	321	145	29
175	477	166	323	47	200
176	323	47	259	133	102
177	125	353	144	126	171
178	292	41	475	154	48
179	11	239	12	179	122
180	10	238	49	209	39
181	9	233	474	195	200
182	66	182	147	125	104
183	7	231	475	189	228
184	138	112	306	148	141
185	318	88	374	114	67
186	5	185	456	169	257
187	345	153	477	193	75
188	476	179	9	181	95
189	179	356	307	146	419
190	270	133	304	122	22
191	353	109	392	170	116
192	470	344	441	354	23
193	238	121	285	43	21
194	406	132	477	162	68
195	142	357	326	179	296
196	196	357	301	326	45
197	14	236	369	154	87
198	282	51	475	176	140
199	293	140	6	183	135
200	368	163	324	154	50
201	7	232	7	183	208
202	255	357	475	282	143
203	396	124	421	142	28
204	201	162	12	181	156
205	414	133	468	152	55
206	278	183	291	45	21
207	316	83	115	133	162
208	477	176	366	113	122
209	477	286	304	355	60
210	475	284	359	357	99
211	477	297	372	357	76
212	447	289	312	357	55
213	322	56	282	51	20
214	444	342	318	352	52
215	477	300	344	356	100
216	9	231	80	246	44
217	349	104	308	75	50
218	11	126	193	119	67
219	248	357	477	287	117
220	207	116	318	81	89
221	142	118	477	179	222
222	4	183	477	171	278
223	318	91	475	183	160
224	4	228	74	249	25
225	118	216	10	182	138
226	477	158	322	51	209
227	11	237	9	181	206
228	217	357	319	356	215
229	293	48	323	40	20
230	477	344	406	357	78
231	57	243	5	302	71
232	477	340	417	357	55
233	308	76	6	183	285
234	477	325	362	357	92
235	323	60	284	134	35
236	269	117	477	162	153
237	263	139	290	62	48
238	120	162	5	185	160
239	340	89	380	112	28
240	412	127	477	157	61
241	267	357	475	287	95
242	475	310	267	357	90
243	477	162	323	57	136
244	12	234	11	181	146
245	477	166	298	77	175
246	341	91	475	160	102
247	11	236	8	183	158
248	424	357	477	311	51
249	9	233	11	180	184
250	475	191	7	181	141
251	228	357	476	271	117
252	477	189	9	230	116
253	324	45	285	60	27
254	477	180	293	47	185
255	184	357	129	356	243
256	11	239	8	182	219
257	9	233	12	181	197
258	8	231	7	183	212
259	289	57	314	61	28
260	172	357	130	357	22
261	473	291	316	356	84
262	293	40	312	115	54
263	11	232	11	181	145
264	10	238	476	185	246
265	477	175	6	223	255
266	338	105	477	178	176
267	334	104	477	173	121
268	171	357	477	315	113
269	138	109	97	130	140
270	302	61	314	121	52
271	475	282	369	356	151
272	315	61	476	173	121
273	90	357	144	118	219
274	315	58	289	56	22
275	477	278	398	332	48
276	477	281	395	321	54
277	314	121	381	147	71
278	8	233	9	181	304
279	338	126	295	355	248
280	477	278	325	356	83
281	411	136	476	179	76
282	394	156	328	357	239
283	10	236	9	181	248
284	382	112	291	47	36
285	473	289	433	315	34
286	46	136	7	182	155
287	282	46	323	48	24
288	101	135	195	122	34
289	308	60	475	154	167
290	10	233	6	183	179
291	475	170	322	46	147
292	12	242	473	318	181
293	4	187	464	166	281
294	296	155	12	180	60
295	477	158	165	355	299
296	317	85	282	50	74
297	8	231	242	220	87
298	342	92	10	178	224
299	477	167	318	59	144
300	244	221	260	147	161
301	121	129	353	196	29
302	353	357	474	321	61
303	477	176	184	165	239
304	136	121	6	179	112
305	98	137	140	163	89
306	308	60	475	171	90
307	285	115	477	162	153
308	111	135	150	143	46
309	187	166	5	183	82
310	474	294	304	354	24
311	282	47	323	48	21
312	14	236	209	205	245
313	213	205	241	221	23
314	243	220	475	180	109
315	314	163	177	356	173
316	306	220	196	356	86
317	293	45	292	45	53
318	180	165	8	179	37
319	477	178	287	152	127
320	274	146	6	179	173
321	335	98	284	42	71
322	323	98	257	356	261
323	476	280	325	356	93
324	10	236	190	170	239
325	477	173	323	49	117
326	475	170	18	171	242
327	298	357	475	281	90
328	10	231	8	181	153
329	172	163	4	186	123
330	5	228	10	178	250
331	11	239	8	181	131
332	475	195	254	221	110
333	234	213	11	181	108
334	10	237	12	181	167
335	283	44	321	59	54
336	282	63	323	59	25
337	319	357	477	304	89
338	4	228	11	181	133
339	360	357	475	328	58
340	4	175	193	183	635
341	387	357	477	323	55
342	477	198	10	234	258
343	284	55	323	46	32
344	157	357	291	47	270
345	306	79	322	47	21
346	313	357	473	313	29
347	335	357	477	322	101
348	323	49	284	45	34
349	323	60	284	43	35
350	31	179	10	225	222
351	9	232	10	182	176
352	475	179	236	218	144
353	323	53	283	51	20
354	214	204	12	238	116
355	475	275	321	355	115
356	414	293	349	356	51
357	332	97	477	171	113
358	192	196	10	182	188
359	475	167	284	44	147
360	252	154	178	146	68
361	477	305	254	356	129
362	9	232	11	183	130
363	189	150	9	182	65
364	429	357	475	331	24
365	44	278	163	201	112
366	41	282	268	110	164
367	477	278	252	357	100
368	212	191	243	215	94
369	207	184	342	91	152
370	15	235	194	197	31
371	263	197	323	57	197
372	10	238	7	183	154
373	9	234	7	182	152
374	293	41	475	149	184
375	476	189	114	132	209
376	477	187	297	77	163
377	477	160	380	110	113
378	297	57	182	154	80
379	283	146	9	182	61
380	11	235	11	180	171
381	155	166	7	183	72
382	475	172	282	153	133
383	11	236	152	173	111
384	272	146	10	179	102
385	138	164	5	185	84
386	199	357	475	278	160
387	318	61	282	54	30
388	6	228	477	179	213
389	282	61	321	58	25
390	7	231	175	193	118
391	475	179	352	105	134
392	199	212	197	355	95
393	340	356	472	300	24
394	323	61	274	356	206
395	12	235	195	191	39
396	224	204	11	183	106
397	476	276	194	356	133
398	293	47	475	173	97
399	477	279	215	355	50
400	475	300	279	355	26
401	323	44	283	51	31
402	428	356	477	343	41
403	477	162	284	43	116
404	432	145	292	51	114
405	13	236	12	179	149
406	477	160	169	357	219
407	474	286	170	357	161
408	477	279	204	357	148
409	477	280	184	352	170
410	430	292	163	357	139
411	283	49	323	49	23
412	477	163	285	43	156
413	475	280	180	357	162
414	11	238	10	182	125
415	476	169	309	79	172
416	299	357	475	287	90
417	5	218	476	175	230
418	475	318	388	356	51
419	276	356	475	281	92
420	338	357	475	308	62
421	7	231	9	178	103
422	287	63	325	108	29
423	477	170	8	226	282
424	11	244	207	355	319
425	11	236	9	181	158
426	477	177	6	218	231
427	11	234	11	180	128
428	331	357	476	283	117
429	292	41	477	197	184
430	437	357	477	337	42
431	406	126	319	93	60
432	9	233	7	183	175
433	18	357	30	321	28
434	34	343	287	42	293
435	9	233	10	181	127
436	477	186	291	47	272
437	477	166	338	91	110
438	315	82	284	42	40
439	432	357	456	347	25
440	291	188	312	162	52
441	8	233	9	183	328
442	476	279	193	357	163
443	441	295	281	354	76
444	313	178	7	182	204
445	473	183	13	241	235
446	200	357	474	276	38
447	475	167	319	59	81
448	474	286	284	357	113
