#tId	x1	y1	x2	y2	time	label
1	55	233	323	231	60	0
5	33	213	346	219	60	0
6	34	210	350	215	80	0
7	31	210	353	222	77	0
8	33	216	267	265	70	0
9	34	217	336	223	63	0
10	34	213	358	220	49	0
12	29	222	270	269	110	0
13	34	202	354	209	60	0
14	67	232	330	329	98	0
15	30	201	341	220	110	0
16	33	202	338	214	49	0
17	112	308	111	97	195	1
18	190	311	320	204	611	2
19	40	336	87	95	211	1
20	121	311	110	102	180	1
21	46	308	92	94	202	1
22	116	332	111	105	187	1
23	50	317	98	96	235	1
24	194	309	336	207	660	2
25	108	308	112	96	202	1
26	120	313	113	94	202	1
27	52	313	99	95	225	1
28	94	356	109	90	232	1
29	55	308	94	96	218	1
30	113	306	113	96	195	1
31	104	309	111	90	240	1
32	102	311	110	93	213	1
33	109	316	115	105	181	1
34	109	312	102	95	225	1
35	111	310	111	98	210	1
36	98	329	109	109	195	1
37	102	320	113	93	240	1
38	233	244	330	218	55	3
39	105	311	100	89	217	1
41	94	311	111	93	225	1
42	35	312	84	113	129	1
43	105	308	108	99	180	1
44	198	306	327	217	60	3
45	94	311	111	93	203	1
46	98	313	115	94	218	1
47	190	307	334	207	159	3
48	99	305	114	93	195	1
49	110	308	106	101	202	1
50	47	308	108	95	240	1
51	114	308	113	104	188	1
52	189	308	302	200	681	2
53	51	307	98	103	232	1
54	102	303	115	113	142	1
55	42	303	96	108	202	1
56	116	326	111	108	196	1
57	188	309	305	207	627	2
58	44	317	88	109	157	1
59	119	325	113	110	195	1
60	49	325	98	117	180	1
61	116	308	112	116	150	1
62	116	314	113	115	157	1
63	114	310	98	117	150	1
64	104	335	111	119	165	1
65	116	322	113	111	195	1
66	50	310	91	109	135	1
67	111	309	115	112	180	1
68	64	307	99	103	202	1
69	189	327	305	216	105	3
70	185	310	326	218	75	3
71	189	307	318	217	60	3
72	314	279	-4	270	49	4
74	318	274	-2	266	49	4
75	321	241	320	238	270	5
77	263	292	-8	291	40	4
78	312	273	1	261	54	4
80	316	270	-10	261	52	4
83	311	278	309	274	40	3
85	320	255	0	252	45	4
86	243	289	24	286	37	4
88	310	280	307	283	63	3
89	344	184	21	168	1794	6
90	272	178	354	247	487	7
91	288	179	263	184	480	7
92	293	180	258	129	443	7
93	302	180	158	166	367	7
94	291	167	232	164	322	7
95	304	168	271	151	322	7
97	212	160	326	341	512	8
98	185	161	4	259	765	9
99	231	146	349	181	518	7
100	201	147	275	243	546	8
101	171	145	7	270	1501	10
102	183	113	317	251	708	11
103	164	135	11	261	1694	12
105	227	150	349	265	112	3
107	187	131	220	161	137	13
108	182	126	237	177	174	13
109	207	128	351	193	140	13
110	196	121	349	268	187	13
111	181	128	238	166	169	13
112	172	120	191	186	246	13
113	189	134	262	192	142	13
115	167	111	270	212	230	13
116	167	111	204	180	210	13
117	165	105	286	227	225	13
118	161	93	327	256	250	13
119	170	103	351	275	180	13
120	151	96	270	253	213	13
121	152	98	341	336	216	13
122	187	113	301	206	1424	14
123	164	110	355	256	1432	14
124	185	109	351	210	1460	14
125	165	105	337	322	1446	14
126	155	100	272	244	1495	14
127	176	102	344	210	1494	14
128	152	97	275	236	1488	14
129	172	102	351	273	1402	14
130	158	104	286	212	1426	14
131	153	98	260	256	1406	14
132	161	109	350	345	1236	15
133	170	109	314	259	1096	15
134	151	110	355	343	210	13
135	149	108	163	139	860	16
136	154	117	89	108	885	16
137	149	114	346	347	323	17
138	195	120	296	190	188	13
139	177	124	330	317	219	13
140	192	117	350	273	202	13
141	180	122	328	242	210	13
143	186	115	352	210	211	13
144	165	109	289	248	248	13
145	147	106	205	212	523	8
146	165	110	347	368	242	17
148	154	120	18	258	436	18
149	175	107	351	216	187	13
150	159	105	337	319	165	13
151	152	107	337	365	196	17
152	153	101	212	187	1119	19
153	45	148	101	90	180	20
154	44	157	117	95	195	20
155	36	151	135	56	1239	21
157	46	161	112	106	150	20
159	38	156	114	97	240	20
160	40	149	108	111	144	20
161	57	157	96	102	488	22
162	33	152	118	92	308	20
163	32	152	118	107	353	22
164	86	140	109	94	135	20
165	37	155	102	143	159	20
166	58	155	59	153	132	20

